2013-10-19 13:43:00 202.64.243.36-1382161380 Log starts 202.64.243.36 Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; OfficeLiveConnector.1.3; OfficeLivePatch.0.0)
2013-10-19 13:43:00 202.64.243.36-1382161380 CSV file: /home/www/newworldclub/client/attachment/20131019134300.csv
2013-10-19 13:43:00 202.64.243.36-1382161380 XML file: /home/www/newworldclub/client/attachment/20131019134300.xml
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'MAX_FILE_SIZE' [41943040]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'age_range' [3]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'agree1' [Y]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'anniversary_day' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'anniversary_month' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area1_1' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area1_2' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area1_3' [76]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area1_7' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area2_1' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area2_2' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area2_3' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area2_7' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area3_1' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area3_2' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area3_3' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area3_7' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area4_1' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area4_2' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area4_3' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'area4_7' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'automobiles' [Y]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'automobiles_no' [1]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'birth_day' [20]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'birth_month' [01]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'birth_month_kid1' [7]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'birth_month_kid2' [1]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'birth_month_kid3' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'birth_year_kid1' [1999]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'birth_year_kid2' [2005]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'birth_year_kid3' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'birthday_day' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'birthday_month' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'by_email' [1]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'c_name' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'city1_1' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'city1_2' [29]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'city1_3' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'city2_1' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'city2_2' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'city2_3' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'city3_1' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'city3_2' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'city3_3' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'city4_1' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'city4_2' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'city4_3' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'country1' [2]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'country2' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'country3' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'country4' [0]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'email' [MARTIN90992128@YAHOO.COM.HK]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'f_name' [CHUI]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'flat_d1' [d]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'flat_d2' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'flat_d3' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'floor_d1' [16]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'floor_d2' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'floor_d3' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'g_name' [KEUNG LUNG]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'home' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'kid' [Y]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'lang' [c]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'membership_name' [CHUI KEUNG LUNG]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'membership_type' [1]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'mobile' [90992128]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'office' []
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'option131' [Y]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'option141' [Y]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'option142' [Y]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'option150' [Y]
2013-10-19 13:43:00 202.64.243.36-1382161380 Data 'option170' [Y]
